Keyword,Currency,Segmentation,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic average position,Organic impression share,In Account,Searches: Jun 2020,Searches: Jul 2020,Searches: Aug 2020,Searches: Sep 2020,Searches: Oct 2020,Searches: Nov 2020,Searches: Dec 2020,Searches: Jan 2021,Searches: Feb 2021,Searches: Mar 2021,Searches: Apr 2021,Searches: May 2021
,,All,1.11E+07,,,,,,,,,,,,,,,,,,,,
,,United States,1.11E+07,,,,,,,,,,,,,,,,,,,,
active endpoint,USD,,50,Low,0,,,,,,,,,,,,,,,,,,
actus,USD,,5000,Low,0,0.49,1.07,,,,,,,,,,,,,,,,
ada,USD,,500000,Low,19,0.86,5.89,,,,,,,,,,,,,,,,
adalite,USD,,5000,Low,0,,,,,,,,,,,,,,,,,,
address,USD,,500000,Low,4,0.23,0.75,,,,,,,,,,,,,,,,
adrestia,USD,,5000,Low,0,,,,,,,,,,,,,,,,,,
airdrop,USD,,50000,Low,1,0.84,4.2,,,,,,,,,,,,,,,,
alice bob,USD,,500,Low,0,,,,,,,,,,,,,,,,,,
altcoins,USD,,50000,Low,20,1.72,14.31,,,,,,,,,,,,,,,,
asic,USD,,500000,High,100,0.98,11.64,,,,,,,,,,,,,,,,
asset group,USD,,500,Low,0,,,,,,,,,,,,,,,,,,
atomic swap,USD,,500,Low,1,2.62,14.6,,,,,,,,,,,,,,,,
balance wallet,USD,,500,Low,10,2.34,8.6,,,,,,,,,,,,,,,,
basho,USD,,5000,Low,1,0.66,1.96,,,,,,,,,,,,,,,,
bft,USD,,50000,Low,2,1.17,3.02,,,,,,,,,,,,,,,,
block,USD,,500000,Medium,49,0.54,1.55,,,,,,,,,,,,,,,,
byron,USD,,50000,Low,1,0.28,0.38,,,,,,,,,,,,,,,,
cfd,USD,,50000,Low,0,1.72,7.76,,,,,,,,,,,,,,,,
chain,USD,,500000,High,100,0.52,1.52,,,,,,,,,,,,,,,,
cold wallet,USD,,5000,High,100,0.81,9.52,,,,,,,,,,,,,,,,
consensus,USD,,500000,Low,3,7.09,9.21,,,,,,,,,,,,,,,,
contract application,USD,,50,Medium,35,2.04,8.25,,,,,,,,,,,,,,,,
contract executable,USD,,,,,,,,,,,,,,,,,,,,,,
cost per epoch,USD,,,,,,,,,,,,,,,,,,,,,,
crypto mining,USD,,50000,High,99,1.28,11.84,,,,,,,,,,,,,,,,
cryptocurrency wallet,USD,,5000,High,100,3.38,16.85,,,,,,,,,,,,,,,,
currency,USD,,500000,Low,23,1.72,158.39,,,,,,,,,,,,,,,,
daedalus,USD,,50000,Low,0,1.12,2.46,,,,,,,,,,,,,,,,
dapp,USD,,50000,Low,5,2.05,13.7,,,,,,,,,,,,,,,,
datum,USD,,50000,Low,0,,,,,,,,,,,,,,,,,,
de fi,USD,,5000,Low,8,0.27,1.92,,,,,,,,,,,,,,,,
decentralized,USD,,50000,Low,0,0.48,3.29,,,,,,,,,,,,,,,,
delegate,USD,,500000,Low,0,0.64,8,,,,,,,,,,,,,,,,
digital asset,USD,,5000,Low,23,2.22,8.18,,,,,,,,,,,,,,,,
double spending problem,USD,,500,Low,0,,,,,,,,,,,,,,,,,,
emurgo,USD,,500,Low,2,2.73,22.5,,,,,,,,,,,,,,,,
endpoint,USD,,50000,Low,6,5.82,13.78,,,,,,,,,,,,,,,,
epoch,USD,,500000,Low,5,0.82,1.23,,,,,,,,,,,,,,,,
eutxo,USD,,,,,,,,,,,,,,,,,,,,,,
fake stake,USD,,5000,High,99,1.63,2.22,,,,,,,,,,,,,,,,
